index,year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,,,,
160,2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-superstition/,https://www.youtube.com/watch?v=x1nttVdja9s,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,78,19,80.41%,POLITICAL PARTIES DEBATE,,IAGREE ANTIL THEY HAVE A COKE COLA,,
161,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-deprogramming-video/,https://www.youtube.com/watch?v=32d5c_IW2Xc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,100.00%,MAN TRYING TO HOLD AN ELIVATOR DOOR OPEN WITH SIX PACK OF BUD LIGHT,,,,
162,2008,Coca-Cola,https://superbowl-ads.com/2008-coca-cola-political-parties/,https://www.youtube.com/watch?v=2_LWZe2BGaE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,39,3,92.86%,KIA GIVE IT EVERTHING MOTIVATION ,,,,
163,2000,Bud Light,https://superbowl-ads.com/2000-bud-light-she-has-a-cat/,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NaN,NaN,NaN,MAN SLIDES OF BED AND OUT OF WINDOW TRYING TO GET A BUD LIGHT,,,,
164,2019,Kia,https://superbowl-ads.com/2020-kia-telluride-give-it-everything/,https://www.youtube.com/watch?v=sS8dkRhDirY,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,CHILD ASKING FATHER WHERE DO BABIES COME FROM,,,,
165,2002,Bud Light,https://superbowl-ads.com/2002-bud-light-satin-sheets/,https://www.youtube.com/watch?v=-LwSb4cCAnw,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,366,18,95.31%,LAST SIP OF PEPSI WITH JUSTIN TIBERLAKE,,,,
166,2013,Kia,https://superbowl-ads.com/video-2013-kia-super-bowl-xlvii-commercial-space-babies/,https://www.youtube.com/watch?v=k5vbGQb7jR0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,49,4,92.45%,BUD LIGHT SPECIAL DELIVERY OF CORN SURUP TO COPMETITOR,,,,
167,2008,Pepsi,https://superbowl-ads.com/2008-pepsi-every-sip-with-justin-timberlake/,https://www.youtube.com/watch?v=AKKM8sP24BE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,634,16,97.54%,HYUNDI EVOLUTION IN THER CARS,,,,
168,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-special-delivery/,https://www.youtube.com/watch?v=eIlX0Gg0GRI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NaN,NaN,NaN,BUD LIGHT BEING THE LANUAGE OF LOVE,,,,
169,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-anachronistic-city-video/,https://www.youtube.com/watch?v=-BVMOKtawUk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,MAN BLOWS FIRE AFTER DRINKING BUD LIGHT AND SETS A HOUSE ON FIRE,,,,
170,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-language-of-love/,https://www.youtube.com/watch?v=Ao0x4zsb724,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,598,181,76.77%,BABYS CRYING AFTER THEY REALIZE THEY SHOILD HAVE CHOSEN E*TRADE,,,,
171,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-jackie-moon-will-ferrell/,https://www.youtube.com/watch?v=ecqiZn2DDFQ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1300,123,91.36%,BUDWISER INTRIDUCING A NEW LAGER THE BLACK CCROWN,,,,
172,2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-girlfriend-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=tbLTl7egwlU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1200,59,95.31%,DRINKING  PEPSI ON A ROLLER COASTER AND NOT SPILLING,,,,
173,2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-celebration/,https://www.youtube.com/watch?v=2WNvlXoDs7w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,100.00%,WOMAN DANCING TO A NEW FLAVOR OF COKE THE TWISTED MANGO,,,,
174,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-roller-coaster/,https://www.youtube.com/watch?v=MwfL-DkL1Vg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,111,5,95.69%,WOMAN GETS HIT WITH CAN OF PEPSI IN A LOVE HURTS EPISODE,,,,
175,2018,Coca-Cola,https://superbowl-ads.com/diet-coke-twisted-mango-groove/,https://www.youtube.com/watch?v=nkGd47iB-wU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,71.43%,GETTING OLD E*TRADE,,,,
176,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-upside-down-clown/,https://www.youtube.com/watch?v=DTvxyDwP2CA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,244,11,95.69%,BUDWISER NEVER BACKING DOWN TO THE COMPETITION,,,,
177,2011,Pepsi,https://superbowl-ads.com/2011-pepsi-max-love-hurts/,https://www.youtube.com/watch?v=r4eyQBvcBUA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,679,196,77.60%,BALLOONS FIGHTING OVER COCA COLA,,,,
178,2018,E-Trade,https://superbowl-ads.com/etrade-commercial-this-is-getting-old/,https://www.youtube.com/watch?v=Qx5-AZlfjp4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,188,12,94.00%,ROBOTS FALL IN LOVE WITH THE 2013 KIA FORTE,,,,
179,2016,Budweiser,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-not-backing/,https://www.youtube.com/watch?v=to4dhysGYD0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,COCA COLA BLESS AMERICA ANTHEM,,,,
180,2008,Coca-Cola,https://superbowl-ads.com/2008-coca-cola-its-mine/,https://www.youtube.com/watch?v=-ACk9mRky5k,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,288,9,96.97%,RETURN OF THE KING BUDWISER PROHIBITION IS OVER,,,,
181,2013,Kia,https://superbowl-ads.com/video-kia-forte-2013-super-bowl-xlvii-commercial-hot-bots/,https://www.youtube.com/watch?v=yhPBzlB6VJI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,227,19,92.28%,DOG IS TRAINED TO FECTH A BUD LIGHT,,,,
182,2014,Coca-Cola,https://superbowl-ads.com/2014-coca-cola-its-beautiful/,https://www.youtube.com/watch?v=D4BC8zUfNhU,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,454,91,83.30%,CALOS MENCIA TEACHING THE CORRECT WAY TO ORDER A BUD LIGHT,,,,
183,2012,Budweiser,https://superbowl-ads.com/2012-budweiser-return-of-the-king/,https://www.youtube.com/watch?v=TieDNumMwOc,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,JAY Z PLAYING A GAME OF HOLIGRAM FOOTBALL WITH COACH SHULA,,,,
184,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-fergus/,https://www.youtube.com/watch?v=j7QA9oHpduk,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,46,3,93.88%,THE GREAT UNKNOWNS AND WHAT IFS,,,,
185,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-class-with-carlos-mencia/,https://www.youtube.com/watch?v=670X2MCWzK0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1300,135,90.59%,MOTHER INLAW DISCUSSING HER DAUTERS TUSHY,,,,
186,2007,Budweiser,https://superbowl-ads.com/2007-budweiser-don-shula-vs-jayz/,https://www.youtube.com/watch?v=YnGpb8lbPOI,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,,,,,
187,2019,Kia,https://superbowl-ads.com/2019-kia-the-great-unknowns-what-if/,https://www.youtube.com/watch?v=nONhop0Kq-E,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,50.00%,BABY SITTING IN FIRST CLASS,,,,
188,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-tushy/,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NaN,NaN,NaN,MAN MEETS HIS MOTHRER IN LAW FOR THE FIRST,,,,
189,2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-first-class-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=tVrE5-eiSNA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,3,92.11%,TOYOTA UNITY WE ALL ONE TEAM,,,,
190,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-mother-in-law/,https://www.youtube.com/watch?v=RuIXFuwLb2s,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,340,18,94.97%,HORSES PLAYING FOOTBALL AND THEY NEED INDTANT REPLAY,,,,
191,2018,Toyota,https://superbowl-ads.com/toyota-2018-big-game-ad-one-team/,https://www.youtube.com/watch?v=QwF3ipuNyfc,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,"CLYDESDALES HORES AND INTODUCING THE NEWEST FOAL, WHO IS ONLY 7 DAYES OLD",,,,
192,2003,Budweiser,https://superbowl-ads.com/2003-budweiser-instant-replay/,https://www.youtube.com/watch?v=hM79LTkT7ek,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,14,2,87.50%,PEOPLE MAKE BRIDGE FOR BUDWISER TRUCK THAT IS STRANDED,,,,
193,2013,Budweiser,https://superbowl-ads.com/video-budweiser-2013-super-bowl-xlvii-ad-the-clydesdales-brotherhood/,https://www.youtube.com/watch?v=eJucRz8kYo0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3700,125,96.73%,MAN WALKS IN BAR WITH DOG AS HIS HAIR BECOUSE THE SIGN SAID NO PETS ALLOWED,,,,
194,2010,Budweiser,https://superbowl-ads.com/hd-exclusive-budweiser-body-bridge-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=IQHlA9qKJv4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,100.00%,MONKEY MUSICAL FOR E*TRADE,,,,
195,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-no-pets-allowed/,https://www.youtube.com/watch?v=BKexURCYxtk,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,76,4,95.00%,HUSBAND REPAIRING THE ROOF WHILE DRINKING BUD LIGHT,,,,
196,2002,E-Trade,https://superbowl-ads.com/2002-etrade-monkey-musical/,https://www.youtube.com/watch?v=SK1i1iyE7RA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,14,0,100.00%,COCA COLA BEAR CATHES BOTTLE THAT WAS TOSSED TO HIM,,,,
197,2006,Budweiser,https://superbowl-ads.com/2006-budweiser-on-the-roof/,https://www.youtube.com/watch?v=q05QIp5qbnY,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,168,16,91.30%,TROJAN HORSE DECOY,,,,
198,2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-catch-ne-bear/,https://www.youtube.com/watch?v=S2nBBMbjS8w,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,107000,47000,69.48%,TOYOTA TUDRA PULLING WEIGHT ON ASEE SAW,,,,
199,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-trojan-horse-occupants/,https://www.youtube.com/watch?v=nScg3KmA_6k,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,100.00%,DADS SIXTH SENSE AND ,,,,
200,2007,Toyota,https://superbowl-ads.com/2007-toyota-tundra-see-saw/,https://www.youtube.com/watch?v=D81uh6I-2Q4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,222,63,77.89%,COCA COLA IS PEPSI STUNT DOUBLE IN A MOVIE WITH JACKIE CHAN,,,,
201,2014,Hynudai,https://superbowl-ads.com/2014-hyundai-genesis-dads-sixth-sense/,https://www.youtube.com/watch?v=CyK63f0I1P0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,244,8,96.83%,DIET PEPSI MAKING AN ALBUM WITH P. DIDDY,,,,
202,2006,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-jackie-chan/,https://www.youtube.com/watch?v=sx0i7WgBOvs,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,80,8,90.91%,HALFTIME TOUCHES DOWN,,,,
203,2006,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-brown-and-bubbly/,https://www.youtube.com/watch?v=d8f-PiELHls,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,51,0,100.00%,BUD LIGHT FACTORY MAKING BUD LIGHT PLATINUM,,,,
204,2015,Pepsi,https://superbowl-ads.com/pepsi-2015-super-bowl-xlix-ad-halftime-touches-down/,https://www.youtube.com/watch?v=IUU_ygKs3jA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0,100.00%,EMPLOYEES USE CRYSTAL BALL ,,,TO GET DORITOS,
205,2012,Bud Light,https://superbowl-ads.com/2012-bud-light-platinum-factory/,https://www.youtube.com/watch?v=3LPLXuHlOCI,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,8,88.89%,BALD SHEEP STREAKS ACROSS FIELD WHERE HORSES ARE PLAYING FOOTBALL,,,,
206,2009,Doritos,https://superbowl-ads.com/2009-doritos-crystal-ball/,https://www.youtube.com/watch?v=Fdz0Q0GiEcc,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,87,11,88.78%,BUD LIGHT ITRODUCING THE NEW COOLTWIST BOTTLE,,,,
207,2006,Budweiser,https://superbowl-ads.com/2006-budweiser-streaker/,https://www.youtube.com/watch?v=Zb3fhsfs6ZU,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2400,86,96.54%,P .DIDDY HICTHES RIDE WITH DIET PEPSI DELIVERY DIRVER,,,,
208,2014,Bud Light,https://superbowl-ads.com/2014-bud-light-cool-twist/,https://www.youtube.com/watch?v=_l1nWWiut0I,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37,3,92.50%,CEDRIC STRANDED ON A ISLAND WITH THREE WISHES,,,,
209,2005,Pepsi,https://superbowl-ads.com/2005-diet-pepsi-pdiddy/,https://www.youtube.com/watch?v=eXfNnSOOoVc,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,99,6,94.29%,APES  MAKE A PLAN TO TAKE SOME BUD LIGHT,,,,
210,2005,Bud Light,https://superbowl-ads.com/2005-bud-light-cedric-stranded/,https://www.youtube.com/watch?v=Q5Hu_FBUIsk,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,9,0,100.00%,P. DIIDY GETS DROPPED OFF AT THE RED CARPET BY PEPSI DELIVERY TRUCK,,,,
211,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-apes-plan/,https://www.youtube.com/watch?v=osn2rzClKh0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,LOST DOG FIDNS HIS WAY BACK HOME WITH THE HELP OF THE BUDWISER HORSES,,,,
212,2005,Pepsi,https://superbowl-ads.com/2005-diet-pepsi-hot-guy/,https://www.youtube.com/watch?v=bHY2miRSwh4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0,100.00%,BUD LIGHT PLAYS THE GAME OF THRONES,,,,
213,2015,Budweiser,https://superbowl-ads.com/2015-budweiser-lost-dog/,https://www.youtube.com/watch?v=otCxSnu_HXA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2400,42,98.28%,CEDRIC GETD WAXED INSTEAD OF  MASSAGE,,,,
214,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-game-of-thrones-joust/,https://www.youtube.com/watch?v=8fhOItB0zUM,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,94000,13000,87.85%,WOMAN TELLS MAN ITS OK TO DATE HER AND HER ROOMATE WHILE DRINKING A BUD LIHGHT,,,,
215,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-cedric-gets-massage/,https://www.youtube.com/watch?v=gWqR28uRxXw,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,47,2,95.92%,BABY TALKING ABOUT E*TRADE,,,,
216,2003,Budweiser,https://superbowl-ads.com/2003-budweiser-roommate/,https://www.youtube.com/watch?v=R67qcUIbFhs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,0,100.00%,PARENTS COME HOME TO FIND THEIR HOUSE FILLED WITH FOAM AND HUNDREDS PEOPLE,,,,
217,2009,E-Trade,https://superbowl-ads.com/2009-etrade-talking-baby/,https://www.youtube.com/watch?v=PlqWRADszb0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,935,28,97.09%,DONKEY LIVES ITS DREAM BEING A CLYDESDALE,,,,
218,2013,Pepsi,https://superbowl-ads.com/video-2013-pepsi-next-super-bowl-xlvii-commercial-party/,https://www.youtube.com/watch?v=WAySopBmbtI,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,100.00%,HYUNDAI ASSURANCE POLICY,,,,
219,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-lipstick/,https://www.youtube.com/watch?v=zM4rU4jit5k,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,514,9,98.28%,PUPPY KEEPS RUNNING AWAY AND THEN ADOPTED,,,,
220,2009,Hynudai,https://superbowl-ads.com/2009-hyundai-assurance-contract/,https://www.youtube.com/watch?v=lzQ2NeqjYS0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,100.00%,PEPSI ADDING A TWIST ON THE BRAND WITH FLAVORS,,,,
221,2014,Budweiser,https://superbowl-ads.com/2014-budweiser-puppy-love/,https://www.youtube.com/watch?v=gUGGepL5gGU,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,236,39,85.82%,DRINKING COCA COLA CAN GIVE YOU A HAPPIER OUTLOOK ON LIFE,,,,
222,2003,Pepsi,https://superbowl-ads.com/2003-pepsi-twist-osbornes/,https://www.youtube.com/watch?v=dnHEqQGl0yA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,CRAZY WITH DON CHEADLE WHAT IS CRAZY,,,,
223,2015,Coca-Cola,https://superbowl-ads.com/2015-coca-cola-make-it-happy/,https://www.youtube.com/watch?v=1AeG8tCzTGw,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,486,24,95.29%,GRANDMA USES BABY TO GET DORITOS,,,,
224,2003,NFL,https://superbowl-ads.com/2003-nfl-crazy-with-don-cheadle/,https://www.youtube.com/watch?v=Bs0Iwwl-5Lk,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44,2,95.65%,PEPSI AND THE GENERATIONS ITS PLEASED,,,,
225,2012,Doritos,https://superbowl-ads.com/2012-doritos-sling-baby/,https://www.youtube.com/watch?v=6SWNLDdnz0A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,315000,100000,75.90%,CEDRIC GIVES ADVICE TO A FRIEND WHILE DRINKING BUD LIGHT,,,,
226,2002,Pepsi,https://superbowl-ads.com/2002-pepsi-generations-with-britney-spears/,https://www.youtube.com/watch?v=TG4giyL-4Sk,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8500,105,98.78%,FRIENDS CALLING EACH OTHER TO FIND OUT WHATS GOING ON,,,,
227,2002,Bud Light,https://superbowl-ads.com/2002-bud-light-cedric-advice/,https://www.youtube.com/watch?v=OfLLLnAngZI,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,29,0,100.00%,CEDRIC  IS ON A DATE AND NEEDS TO FIND SOMETHING TO COOL HIS SELF DOWN,,,,
228,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup/,https://www.youtube.com/watch?v=JJmqCKtJnxM,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38000,730,98.12%,HYUNDI ENTRODUCING THE 2013 GENIESIS,,,,
229,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-cedric-the-entertainer/,https://www.youtube.com/watch?v=h-HHbtwX5vY,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0,100.00%,DAD CHOOSING TO MORE THAN A FATHER,,,,
230,2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-genesis-super-bowl-xlvii-commercial/,https://www.youtube.com/watch?v=mOatp4Xi7IU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0,100.00%,DOG DREAMING OF HIS WORST DAY ,,,,
231,2015,Toyota,https://superbowl-ads.com/toyota-camry-2015-super-bowl-xlix-ad-my-bold-dad/,https://www.youtube.com/watch?v=9u4--TxE2gI,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,314,8,97.52%,TENNIS PLAYERS PLAY OVER DORITOS,,FOR DORITOS,,
232,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-rex/,https://www.youtube.com/watch?v=GgXsLHifz9k,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,167,7,95.98%,DOGS DRESS UP LIKA A PERSON TO GET DORITOS,,,,
233,2001,Doritos,https://superbowl-ads.com/2001-doritos-ali-landry/,https://www.youtube.com/watch?v=xbrvsJZSxok,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,15,0,100.00%,DRINKING BUD LIGHT GIVES YOU ABILITY TO FLY,,,,
234,2016,Doritos,https://superbowl-ads.com/doritos-2016-super-bowl-50-ad-doritos-dogs/,https://www.youtube.com/watch?v=MNRAdrB9TSs,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3900,182,95.54%,CHECK OUT GIRL COMPLIMENTS MAN ON HIS CHOICE OF DORITOS,,,,
235,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-ability-to-fly/,https://www.youtube.com/watch?v=-axbiEJiRGw,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,2,86.67%,PERFECT DAY TO PLAY FOOTBALL NFL TRIBUTE,,,,
236,2007,Doritos,https://superbowl-ads.com/2007-doritos-check-out-girl/,https://www.youtube.com/watch?v=nIcFZzdXSrU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,278,78,78.09%,PEPSI CAN REVITALIZE YOUR LIFE,,,,
237,2001,NFL,https://superbowl-ads.com/2001-nfl-perfect-day/,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,BEING ABLE TO WACTH THE NFL ON ALL YOUR DEVICES,,,,
238,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-bob-dole/,https://www.youtube.com/watch?v=6h7wifUL8mk,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,15,2,88.24%,BUDWISER CAN GIVE YOU ENTERNAL OPTIMSM,,,,
239,2014,NFL,https://superbowl-ads.com/nfl-now/,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,MAN VS MACHINE,,,,
240,2012,Budweiser,https://superbowl-ads.com/2012-budweiser-eternal-optimism/,https://www.youtube.com/watch?v=_GeiOdHsW_8,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,598,101,85.55%,E*TRADE SECURITY GARD SAVES THE DAY,,,,FROM A BURGLAR
241,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-kasparov-vs-pepsi-machine/,https://www.youtube.com/watch?v=pldGc0Cpf84,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,21,0,100.00%,FATHER GETTING A COMPLEMENT ON RAISING HIS DAUTER,,,,
242,2001,E-Trade,https://superbowl-ads.com/2001-etrade-security-guard/,https://www.youtube.com/watch?v=39BL7iqe6pQ,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14,5,73.68%,,,,,
243,2001,Budweiser,https://superbowl-ads.com/2001-budweiser-nsync/,https://www.youtube.com/watch?v=H9YdunAo3Ug,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,5,98.63%,,,,,
